s,kW,kW,kW,kW,kW,kW,kW,kW,kW,kg/s,kg/s,kg/s
Time,HRR,Q_RADI,Q_CONV,Q_COND,Q_DIFF,Q_PRES,Q_PART,Q_ENTH,Q_TOTAL,MLR_AIR,MLR_PROPANE,MLR_PRODUCTS
 1.4500144E+001, 5.1197918E+001,-8.9497030E+000, 2.2339551E+000,-1.4918890E+001, 1.2015105E+000, 0.0000000E+000, 0.0000000E+000, 3.0704061E+001, 3.0764790E+001, 0.0000000E+000, 1.0631877E-003, 0.0000000E+000
 1.5001036E+001, 5.6747425E+001,-1.0466489E+001, 2.5384241E+000,-1.5843791E+001, 1.2466100E+000, 0.0000000E+000, 0.0000000E+000, 3.4120962E+001, 3.4222180E+001, 0.0000000E+000, 1.1414436E-003, 0.0000000E+000
 1.5504642E+001, 5.8986205E+001,-1.0896531E+001, 2.7708160E+000,-1.6631007E+001, 1.2709286E+000, 0.0000000E+000, 0.0000000E+000, 3.5408903E+001, 3.5500412E+001, 0.0000000E+000, 1.2228024E-003, 0.0000000E+000
 1.6004473E+001, 6.2588623E+001,-1.1825195E+001, 2.9184402E+000,-1.9067026E+001, 1.3539149E+000, 0.0000000E+000, 0.0000000E+000, 3.5966870E+001, 3.5968756E+001, 0.0000000E+000, 1.3068943E-003, 0.0000000E+000
 1.6500372E+001, 6.9754594E+001,-1.3764971E+001, 3.1155028E+000,-2.1011121E+001, 1.4129453E+000, 0.0000000E+000, 0.0000000E+000, 3.9504960E+001, 3.9506950E+001, 0.0000000E+000, 1.3931034E-003, 0.0000000E+000
 1.7002329E+001, 7.3156867E+001,-1.4393793E+001, 3.1136031E+000,-2.3947481E+001, 1.4729677E+000, 0.0000000E+000, 0.0000000E+000, 3.9291610E+001, 3.9402164E+001, 0.0000000E+000, 1.4822210E-003, 0.0000000E+000
 1.7501493E+001, 7.7585393E+001,-1.5602827E+001, 3.3361482E+000,-2.4213845E+001, 1.5051468E+000, 0.0000000E+000, 0.0000000E+000, 4.2502198E+001, 4.2610016E+001, 0.0000000E+000, 1.5744994E-003, 0.0000000E+000
 1.8003450E+001, 8.3907011E+001,-1.7009640E+001, 3.3730612E+000,-2.6314020E+001, 1.6653770E+000, 0.0000000E+000, 0.0000000E+000, 4.5634988E+001, 4.5621790E+001, 0.0000000E+000, 1.6695078E-003, 0.0000000E+000
 1.8503334E+001, 8.6825861E+001,-1.8018007E+001, 3.4125612E+000,-2.8713124E+001, 1.7167156E+000, 0.0000000E+000, 0.0000000E+000, 4.5083038E+001, 4.5224007E+001, 0.0000000E+000, 1.7673767E-003, 0.0000000E+000
 1.9001104E+001, 8.6890244E+001,-1.7831372E+001, 3.1361270E+000,-3.0435429E+001, 1.6447453E+000, 0.0000000E+000, 0.0000000E+000, 4.3371285E+001, 4.3404315E+001, 0.0000000E+000, 1.8675844E-003, 0.0000000E+000
