Output time [min],Output HRR from wood [kW],Output HRR inside enclosure [kW],Output HRR external to enclosure [kW],Output HRR total [kW],Output Gas Temp [DegC]
5.304374999999999,0.0,900.0,0.0,900.0,299.9293580554129
5.325937499999999,0.0,900.0,0.0,900.0,302.00378263771756
5.347499999999999,0.0,900.0,0.0,900.0,303.9842319003334
5.3690625,0.0,900.0,0.0,900.0,305.87975265390764
5.390625,0.0,900.0,0.0,900.0,307.69824569040736
5.4121875,0.0,900.0,0.0,900.0,309.4466296561268
5.43375,0.0,900.0,0.0,900.0,311.1309801402275
5.4553125,0.0,900.0,0.0,900.0,312.75664778812654
5.476875000000001,0.0,900.0,0.0,900.0,314.32835867689175
5.4984375,0.0,900.0,0.0,900.0,315.8502996964181
5.52,0.0,900.0,0.0,900.0,317.3261912572855
5.5415624999999995,0.0,900.0,0.0,900.0,318.75934928549407
5.563124999999999,0.0,900.0,0.0,900.0,320.1527381577912
5.5846875,0.0,900.0,0.0,900.0,321.5090159716882
5.60625,0.0,900.0,0.0,900.0,322.8305733248827
5.6278125,0.0,900.0,0.0,900.0,324.1195665937687
5.649375,0.0,900.0,0.0,900.0,325.377946544878
5.670937499999999,0.0,900.0,0.0,900.0,326.6074829819868
5.6925,0.0,900.0,0.0,900.0,327.8097860213958
5.7140625,0.0,900.0,0.0,900.0,328.9863244952671
5.735625,0.0,900.0,0.0,900.0,330.1384419050777
5.7571875,0.0,917.2499999999991,0.0,917.2499999999991,331.6671148751268
5.77875,0.0,968.9999999999986,0.0,968.9999999999986,334.31720885719506
5.8003125,0.0,1020.7500000000005,0.0,1020.7500000000005,337.9315444914047
5.821875,0.0,1072.5,0.0,1072.5,342.3798960909745
5.843437499999999,0.0,1124.2499999999995,0.0,1124.2499999999995,347.5531402044936
5.864999999999999,0.0,1175.999999999999,0.0,1175.999999999999,353.3588870641339
5.886562499999999,0.0,1227.7499999999986,0.0,1227.7499999999986,359.71820134821155
5.908125,0.0,1279.5000000000005,0.0,1279.5000000000005,366.56311554736476
5.9296875,1244.3784927279655,1910.2281518185202,665.4003409094454,2575.6284927279657,387.28935906930303
5.95125,1268.408494153589,1910.2281518185202,741.180342335068,2651.4084941535884,405.110134776014
5.9728125,1308.4109439547246,1910.2281518185202,832.9327921362037,2743.1609439547237,420.4953537898248
5.994375,1354.6315776316926,1910.2281518185202,930.9034258131713,2841.1315776316915,433.8580651938038
6.015937500000001,1403.9915634119982,1910.2281518185202,993.7634115934779,2903.991563411998,445.55166139202424
6.0375,1453.6717190779011,1910.2281518185202,1043.4435672593809,2953.671719077901,455.87240450132754
6.0590625,1501.7788216510025,1910.2281518185202,1091.5506698324823,3001.7788216510025,465.064816290958
6.0806249999999995,1547.2912456171143,1910.2281518185202,1137.0630937985939,3047.2912456171143,473.3283580338025
6.102187499999999,1589.646217990537,1910.2281518185202,1179.418066172017,3089.6462179905375,480.8243714171414
6.12375,1628.6955503224294,1910.2281518185202,1218.4673985039092,3128.6955503224294,487.6826515792188
6.1453125,1664.4496496015033,1910.2281518185202,1254.221497782983,3164.4496496015036,494.00731715375605
6.166875,1697.0907674245154,1910.2281518185202,1286.8626156059952,3197.0907674245154,499.88184458992464
6.1884375,1726.8277812284018,1910.2281518185202,1316.5996294098816,3226.827781228402,505.3732615214726
6.209999999999999,1753.9277830946671,1910.2281518185202,1343.6996312761466,3253.9277830946667,510.53556540014756
6.2315625,1778.6354210098048,1910.2281518185202,1368.407269191285,3278.635421009805,515.412466618224
6.253125,1801.2051840289362,1910.2281518185202,1390.977032210416,3301.205184028936,520.0395642171583
6.2746875,1821.8565321931646,1910.2281518185202,1411.6283803746442,3321.8565321931646,524.446057441153
6.29625,1840.8010667519563,1910.2281518185202,1430.5729149334359,3340.801066751956,528.6560848340354
6.3178125,1858.2169838844995,1910.2281518185202,1447.9888320659793,3358.2169838844993,532.6897686269231
6.339375,1874.2702317604285,1910.2281518185202,1464.0420799419082,3374.2702317604285,536.5640282852322
6.3609375,1889.0992940689914,1910.2281518185202,1478.871142250471,3389.099294068991,540.2932145176223
6.382499999999999,1902.8311314459645,1910.2281518185202,1492.6029796274447,3402.831131445965,543.8896042913335
6.404062499999999,1915.5715260647576,1910.2281518185202,1505.343374246237,3415.5715260647576,547.3637885202506
6.425624999999999,1927.4169728581699,1910.2281518185202,1517.1888210396498,3427.41697285817,550.7249769501007
6.4471875,1938.4480965935668,1910.2281518185202,1528.2199447750465,3438.448096593567,553.9812391241366
6.46875,1948.738550987349,1910.2281518185202,1538.5103991688288,3448.7385509873493,557.1396959159108
6.4903125,1958.3502121454662,1910.2281518185202,1548.1220603269462,3458.3502121454667,560.2066727216196
6.511875,1967.3399146985817,1910.2281518185202,1557.1117628800616,3467.339914698582,563.1878228021166
6.5334375,1975.7557375009642,1910.2281518185202,1565.527585682444,3475.755737500964,566.0882272784493
6.555000000000001,1983.6421852344897,1910.2281518185202,1573.4140334159697,3483.64218523449,568.9124767729186
6.5765625,1991.0371941728558,1910.2281518185202,1580.8090423543358,3491.0371941728563,571.6647385382887
6.598125,1997.9761919876714,1910.2281518185202,1587.7480401691512,3497.9761919876714,574.3488120439039
6.6196874999999995,2004.4896112183715,1910.2281518185202,1594.2614593998512,3504.4896112183715,576.9681753222667
6.641249999999999,2010.6061310463924,1910.2281518185202,1600.3779792278724,3510.606131046393,579.5260238721959
6.6628125,2016.3505696132434,1910.2281518185202,1606.1224177947233,3516.3505696132434,582.0253035264506
6.684375,2021.7465205696644,1910.2281518185202,1611.5183687511442,3521.7465205696644,584.4687383936016
6.7059375,2026.8145405706616,1910.2281518185202,1616.5863887521414,3526.814540570662,586.8588547540635
6.7275,2031.5743304496982,1910.2281518185202,1621.3461786311784,3531.5743304496987,589.1980016121265
6.749062499999999,2036.0431599421893,1910.2281518185202,1625.815008123669,3536.043159942189,591.4883684671811
6.770625,2040.2377000589456,1910.2281518185202,1630.0095482404254,3540.237700058946,593.732000758803
6.7921875,2044.1726426653795,1910.2281518185202,1633.9444908468595,3544.1726426653795,595.9308133549558
6.81375,2047.862260851855,1910.2281518185202,1637.6341090333349,3547.8622608518554,598.0866023849642
6.8353125,2051.3191910750934,1910.2281518185202,1641.091039256573,3551.319191075093,600.2010556651043
6.856875,2054.55577770546,1910.2281518185202,1644.3276258869396,3554.55577770546,602.2757619215804
6.8784375,2057.5829923708857,1910.2281518185202,1647.3548405523657,3557.582992370886,604.3122189809869
6.9,2060.4116044475372,1910.2281518185202,1650.183452629017,3560.4116044475372,606.31184107028
6.921562499999999,2063.0512172658246,1910.2281518185202,1652.8230654473045,3563.0512172658246,608.2759653454459
6.943124999999999,2065.511296108653,1910.2281518185202,1655.2831442901327,3565.511296108653,610.2058577493591
6.964687499999999,2067.8003047156667,1910.2281518185202,1657.5721528971467,3567.800304715667,612.1027182839557
6.98625,2069.926615036016,1910.2281518185202,1659.6984632174956,3569.926615036016,613.9676857691447
7.0078125,2071.8977303851775,1910.2281518185202,1661.6695785666577,3571.897730385178,615.8018421503334
7.029375,2073.7210958730616,1910.2281518185202,1663.4929440545413,3573.7210958730616,617.6062164076433
7.0509375,2075.4033968707786,1910.2281518185202,1665.1752450522588,3575.403396870779,619.3817881125224
7.0725,2076.951285099114,1910.2281518185202,1666.723133280594,3576.951285099114,621.1294906712553
7.094062500000001,2078.370742902654,1910.2281518185202,1668.142591084134,3578.3707429026545,622.8502142896307
7.115625,2079.667737034925,1910.2281518185202,1669.4395852164046,3579.667737034925,624.5448086885821
7.1371875,2080.847640724695,1910.2281518185202,1670.6194889061746,3580.847640724695,626.2140855968332
7.1587499999999995,2081.915824947308,1910.2281518185202,1671.6876731287878,3581.915824947308,627.858821043342
7.180312499999999,2082.8771314835935,1910.2281518185202,1672.6489796650733,3582.8771314835935,629.4797574695699
7.201875,2083.7364097326367,1910.2281518185202,1673.508257914117,3583.736409732637,631.0776056792132
7.2234375,2084.498034959644,1910.2281518185202,1674.269883141124,3584.4980349596444,632.6530466409775
7.245,2085.166397351189,1910.2281518185202,1674.9382455326688,3585.166397351189,634.2067331581932
7.2665625,2085.7454604723684,1910.2281518185202,1675.5173086538484,3585.745460472369,635.7392914175233
7.288124999999999,2086.2392081912417,1910.2281518185202,1676.0110563727214,3586.2392081912417,637.2513224276685
7.3096875,2086.6512390491666,1910.2281518185202,1676.4230872306464,3586.6512390491666,638.7434033577954
7.33125,2086.985175823649,1910.2281518185202,1676.7570240051293,3586.9851758236496,640.2160887843893
7.3528125,2087.244292085378,1910.2281518185202,1677.0161402668582,3587.244292085378,641.6699118543244
7.374375,2087.4318884728,1910.2281518185202,1677.20373665428,3587.4318884728,643.1053853711525
7.3959375,2087.550948192775,1910.2281518185202,1677.3227963742552,3587.5509481927756,644.5230028109091
7.4175,2087.604483508477,1910.2281518185202,1677.376331689957,3587.604483508477,645.9232392731159
7.4390625,2087.5952173456963,1910.2281518185202,1677.3670655271758,3587.5952173456963,647.3065523721107
7.460624999999999,2087.525903024466,1910.2281518185202,1677.2977512059456,3587.525903024466,648.6733830733476
7.482187499999999,2087.399029481629,1910.2281518185202,1677.1708776631087,3587.399029481629,650.0241564788771
7.503749999999999,2087.2171168841046,1910.2281518185202,1676.9889650655848,3587.217116884105,651.3592825658288
7.5253125,2086.9824432692803,1910.2281518185202,1676.75429145076,3586.9824432692803,652.6791568813749
7.546875,2086.6973183510527,1910.2281518185202,1676.4691665325327,3586.6973183510527,653.9841611973429
7.5684375,2086.3638296327294,1910.2281518185202,1676.1356778142092,3586.3638296327294,655.2746641273706
7.59,2085.984096437448,1910.2281518185202,1675.7559446189275,3585.984096437448,656.5510217092441
7.6115625,2085.5600337665437,1910.2281518185202,1675.3318819480232,3585.5600337665437,657.8135779548408
7.633125000000001,2085.093588348621,1910.2281518185202,1674.8654365301004,3585.093588348621,659.0626653698931
7.6546875,2084.586518705212,1910.2281518185202,1674.3583668866913,3584.5865187052113,660.2986054456095
7.67625,2084.0406148090738,1910.2281518185202,1673.8124629905533,3584.0406148090733,661.5217091240218
7.6978124999999995,2083.457492982415,1910.2281518185202,1673.2293411638943,3583.457492982415,662.7322772387836
7.719374999999999,2082.8388005819033,1910.2281518185202,1672.610648763383,3582.8388005819033,663.9306009330032
7.7409375,2082.186024494973,1910.2281518185202,1671.9578726764528,3582.186024494973,665.1169620555769
7.7625,2081.500682119073,1910.2281518185202,1686.2725303005532,3596.5006821190736,666.2916335373728
7.7840625,2080.784142347059,1910.2281518185202,1711.4309905285386,3621.659142347059,667.4548797485181
7.805625,2080.037803975295,1910.2281518185202,1736.5596521567743,3646.7878039752945,668.606956837944
7.827187499999999,2079.2629281795207,1910.2281518185202,1761.659776361,3671.8879281795203,669.7481130562636
7.84875,2078.4608053706443,1910.2281518185202,1786.7326535521245,3696.9608053706447,670.8785890629769
7.8703125,2077.6325982607145,1910.2281518185202,1811.7794464421945,3722.007598260715,671.998618218927
7.891875,2076.7794980833405,1910.2281518185202,1836.8013462648198,3747.02949808334,673.1084268648683
7.9134375,2075.9025774341567,1910.2281518185202,1861.799425615636,3772.0275774341562,674.2082345869433
7.935,2075.002936687374,1910.2281518185202,1886.7747848688534,3797.0029366873737,675.2982544698161
7.9565625,2074.0815658666947,1910.2281518185202,1911.7284140481747,3821.956565866695,676.378693338155
7.978125,2073.1394820105083,1910.2281518185202,1936.6613301919883,3846.889482010509,677.449751987112
7.999687499999999,2072.1775994028976,1910.2281518185202,1961.574447584377,3871.802599402897,678.5116254024048
8.02125,2071.1968585664204,1910.2281518185202,1960.9687067479,3871.19685856642,679.5645029705668
8.0428125,2070.198104240816,1910.2281518185202,1959.9699524222958,3870.198104240816,680.6085686798937
8.064375,2069.1822066241343,1910.2281518185202,1958.9540548056143,3869.182206624135,681.6440013125823
8.0859375,2068.1499465383968,1910.2281518185202,1957.9217947198765,3868.1499465383968,682.6709746285254
8.1075,2067.1021294847324,1910.2281518185202,1956.8739776662126,3867.102129484733,683.6896575411974
8.1290625,2066.0394774865754,1910.2281518185202,1955.8113256680554,3866.0394774865754,684.7002142860399
